22:24:39.416 [JavaFX App] DEBUG FXGLLoggerFactory    - Service [LoggerFactory] initialized
22:24:39.426 [JavaFX App] INFO  FXGL                 - FXGL configuration complete
22:24:39.426 [JavaFX App] DEBUG FXGL                 - Loading FXGL system data
22:24:39.430 [JavaFX App] DEBUG IOTask               - Executing task: readDataTask(system/fxgl.bundle)
22:24:39.434 [JavaFX App] DEBUG FS                   - Reading from: system\fxgl.bundle
22:24:39.453 [JavaFX App] DEBUG IOTask               - Task succeeded: readDataTask(system/fxgl.bundle)
22:24:39.453 [JavaFX App] DEBUG Bundle               - Logging bundle: FXGL
22:24:39.454 [JavaFX App] DEBUG Bundle               - FXGL.version.check=2016-08-07
22:24:39.468 [JavaFX App] DEBUG GameApplication      - Starting Game Application
22:24:39.471 [JavaFX App] DEBUG FXGLEventBus         - Service [EventBus] initialized
22:24:39.482 [JavaFX App] DEBUG FXGLExecutor         - Service [Executor] initialized
22:24:39.490 [JavaFX App] DEBUG GameWorld            - Game world initialized
22:24:39.541 [JavaFX App] DEBUG PhysicsWorld         - Physics world initialized
22:24:39.565 [JavaFX App] DEBUG GameScene            - Game scene initialized: 640.0x700.0
22:24:39.616 [JavaFX App] DEBUG AssetLoader          - Service [AssetLoader] initialized
22:24:39.618 [JavaFX App] DEBUG AssetLoader          - Loading from disk: /assets/sounds/system/notification.wav
22:24:39.641 [JavaFX App] DEBUG AssetLoader          - Loading from disk: /assets/sounds/menu/select.wav
22:24:39.643 [JavaFX App] DEBUG AssetLoader          - Loading from disk: /assets/sounds/menu/back.wav
22:24:39.644 [JavaFX App] DEBUG AssetLoader          - Loading from disk: /assets/sounds/menu/press.wav
22:24:39.646 [JavaFX App] DEBUG AssetLoader          - Loading from disk: /assets/ui/fonts/Copperplate_Gothic_Light_Regular.ttf
22:24:39.718 [JavaFX App] DEBUG AssetLoader          - Loading from disk: /assets/ui/css/fxgl.css
22:24:39.718 [JavaFX App] DEBUG AssetLoader          - Loading from disk: /assets/ui/icons/fxgl_icon.png
22:24:39.769 [JavaFX App] DEBUG AssetLoader          - Loading from disk: /assets/ui/css/fxgl_dark.css
22:24:39.788 [JavaFX App] DEBUG FXGLDisplay          - Target size: DoubleProperty [value: 640.0] x DoubleProperty [value: 700.0] @ 1.0
22:24:39.788 [JavaFX App] DEBUG FXGLDisplay          - New size:    640.0 x 700.0 @ DoubleProperty [value: 1.0]
22:24:39.789 [JavaFX App] DEBUG FXGLDisplay          - Service [Display] initialized
